experiment_set,model_version,algorithm,n_features,training_time,training_auc_roc,validation_auc_roc,overfitting
2,extra_features,rf,26722,44.40956783294678,0.8062085462514605,0.7986741711800593,0.00934544182945338
2,extra_features,gdbt,26722,38.79028296470642,0.84838082524116,0.8309305831625746,0.02056887845576304
3,date_features_only,gdbt,33,13.738118171691895,0.6286063439277708,0.6131131292795517,0.0246469269645158
3,date+extra_features,gdbt,26755,36.97509407997131,0.8590941924724197,0.8432030596569273,0.018497544221267145
3,date+extra_features,rf,26755,52.2854220867157,0.8111031508452098,0.8042927051656623,0.008396522282585944
4,text_only,gdbt,14779,28.67139196395874,0.7579774956692591,0.7201457076344606,0.04991149242682298
4,text+sequence_only,gdbt,18018,45.48954796791077,0.7984446022071656,0.7678103482945089,0.03836741312794086
4,text+sequence_only,rf,18018,52.85058093070984,0.7266209591061618,0.7101526204518684,0.022664276949224682
5,combined_features,gdbt,20089,94.71860909461975,0.8569353894415153,0.8391566916789707,0.020746835737676075
5,combined_features,rf,20089,87.42250180244446,0.8110537195803722,0.8047670207494948,0.0077512730403727775
1,baseline,gdbt,3,15.189247846603394,0.648204197033653,0.6343806471166661,0.021325918561229534
1,baseline,rf,3,19.091612815856934,0.6455688732548364,0.6345999166606489,0.0169911485026905
